example_id,is_challenging,challenging_types,article_excerpt,summary_A,summary_B,annotator_name,faithfulness_A,faithfulness_B,coverage_A,coverage_B,fluency_A,fluency_B,overall_preference,notes
ex_001,yes,multi_entity,"Opera isn't normally a field associated with animal cruelty, but the two worlds have collided in China after a singer posted pictures of herself wearing a headdress made from kingfisher feathers. Web users and conservationists quickly criticised her indifference towards animal welfare after it emerged the accessory was made from the feathers of no less than 80 of the colourful birds, according to the People's Daily Online. Outcry: Opera singer Liu Guijuan is heavily criticised for showing off her headdress (pictured) made with feather from 80 kingfishers . Peking opera singer Liu Guijuan wrote in her post on Weibo, China's equivalent of Twitter, that she had bought the rare headpiece more than a decade ago for 120,000 yuan (£10,775). 'It […]","Opera singer Liu Guijuan faced backlash after posting pictures of a headdress made from the feathers of 80 kingfishers, purchased for 120,000 yuan (£10,775). Conservationists and web users criticized her for disregarding animal welfare, with some calling for her to step down. While some defended her, citing industry rules and artistic tradition, others suggested using fake feathers instead. Liu initially defended her actions but later removed the post; two of China's 11 kingfisher species are protected, and police in Guangdong recently seized 60,000 dead kingfishers.","Peking opera singer Liu Guijuan posted pictures of her headdress on Weibo. It was made from the feathers of no less than 80 kingfishers. She said she bought the rare headpiece more than a decade ago for 120,000 yuan (£10,775) Two of the 11 types of kingfisher in China are protected species.",,,,,,,,,
ex_002,yes,multi_entity,"Airline rivals Ryanair and Aer Lingus have locked horns once again on Twitter. In not-so-subtle posts on the social networking site, the two carriers reignited their feud by posting tweets concerning their operation at Dublin Airport. Ryanair, run by Michael O'Leary, shared a photo of two of its staff by an advertising banner in Terminal 2, along with the words: 'Low Fares have come to @DublinAirport T2 at last. 'Fly from T1 for the lowest fares made simple.' Ryanair took to Twitter for a cheeky promotional photo in Terminal 2 in Dublin - where Aer Lingus fly out from . In response to Ryanair's post, Aer Lingus had a dig at where Ryanair fly their passengers out too . Ryanair […]","Ryanair and Aer Lingus engage in light-hearted banter on Twitter. Ryanair posts photo of staff in Terminal 2 at Dublin Airport. Aer LingUS responds by saying 'Fly from T2 at @DublinAirport to central locations across Europe. T1 gets you nearly there, we get you really there'","Ryanair and Aer Lingus engaged in another Twitter feud, exchanging jabs about their operations at Dublin Airport. Ryanair posted a promotional photo in Terminal 2, where Aer Lingus operates, prompting Aer Lingus to respond with a dig at Ryanair's use of smaller, less central airports. This follows a previous Twitter spat in January over Ryanair using an Aer Lingus plane in its promotional material. The rivalry occurs as the UK Court of Appeal prepares to rule on Ryanair's stake in Aer Lingus, which may force Ryanair to reduce its ownership due to competition regulations.",,,,,,,,,
ex_003,no,,"Bayern Munich will be without versatile left-back David Alaba for the closing stages of the season after he was ruled out for around seven weeks with a torn knee ligament. Alaba, out for three months earlier this season after a partial ligament tear in his right knee, was injured while playing for Austria in their 1-1 draw against Bosnia on Tuesday. 'I am bitterly disappointed,' the 22-year-old told the club's website. 'But I have a big aim and that is to be there at the season finale.' David Alaba is tackled by Emir Spahic's tackle during Austria's 1-1 draw against Bosnia-Herzegovina . Marc Janko (left) celebrates with Martin Harnik and Alaba after he scored against Liechtenstein last Friday . He […]",David Alaba was injured while playing for Austria in their 1-1 draw against Bosnia-Herzegovina on Tuesday. The 22-year-old is set to start rehabilitation work in about a month. Bayern Munich face Porto in the Champions League quarter-finals later this month.,"Bayern Munich's left-back David Alaba will miss the season's closing stages due to a torn knee ligament, sidelining him for around seven weeks. The injury occurred during Austria's 1-1 draw against Bosnia, marking his second significant knee injury this season. Alaba expressed disappointment but aims to return for the season finale. He had been instrumental in Bayern's pursuit of a treble, with the team currently leading the Bundesliga and advancing in the German Cup and Champions League.",,,,,,,,,
ex_004,yes,multi_entity; long_article,"Washington (CNN)In 2011, al Qaeda took Warren Weinstein hostage. Then, about a year later, his family paid money to his captors, said a Pakistani source who was in regular contact with the kidnappers. It did not lead to the American aid worker's release, and he was inadvertently killed in an anti-terror strike in January, the White House announced Thursday. After the transfer of funds in 2012, the captors, who never referred to themselves as ""al Qaeda,"" but instead as ""Afghans,"" began demanding prisoners be released in exchange for Weinstein, most prominently Dr. Aafia Siddiqui of Pakistan, the source said. She has been described as the ""poster girl"" for Islamic jihad and is serving an 86-year sentence in the United States. […]","Warren Weinstein's family paid money to his captors, a Pakistani source says. It did not lead to the American aid worker's release, and he was inadvertently killed in an anti-terror strike. After the transfer of funds in 2012, the captors began demanding prisoners be released in exchange for Weinstein.","Warren Weinstein, an American aid worker, was taken hostage by al Qaeda in 2011 and later killed in a U.S. anti-terror strike in January 2015. His family paid a ransom to his captors in 2012, but it did not secure his release, and the captors later demanded prisoner exchanges, including Dr. Aafia Siddiqui. The captors, who identified as ""Afghans,"" maintained regular contact with a Pakistani source, boasting of connections to other terror events and threatening Weinstein's life. Despite efforts by Weinstein's family and Maryland lawmakers to secure his release, including meetings with U.S. and Pakistani officials, he was inadvertently killed in a drone strike, leading to emotional reactions from those involved in his case.",,,,,,,,,
ex_005,yes,multi_entity,"World No 1 Novak Djokovic has apologised to the startled ball boy caught in the crossfire of a tirade at his support team during his win over Andy Murray in Sunday's Miami Open final. Djokovic lost his cool at the end of the second set as Murray came back to take the match to a decider but has since expressed his regret at the incident in a video posted on Facebook. During the rant, Djokovic snatched a towel from the shocked youngster before umpire Damien Dumusois gave him a code violation for the outburst, saying it 'didn't look good' as he sat down between the change of ends. Novak Djokovic issued an apology via Facebook to a ball boy he […]","World No. 1 Novak Djokovic apologized to a ball boy he startled during a heated outburst at his support team in the Miami Open final against Andy Murray. Djokovic, frustrated after losing the second set, snatched a towel from the ball boy, prompting a code violation from the umpire. In a Facebook video, Djokovic expressed regret, emphasizing no intent to harm or scare the boy and extending his apology to the boy's parents. Despite the incident, Djokovic rallied to win the match 7-6, 4-6, 6-0, claiming his fifth Miami Open title.",Novak Djokovic lost his cool at the end of the second set of the Miami Open final against Andy Murray. The world No 1 grabbed a towel from the ball boy who seemed startled by the loud confrontation. The youngster was caught in the crossfire of a tirade at his support team during his win over Murray in Sunday's final. The Serbian issued an apology via Facebook.,,,,,,,,,
ex_006,yes,multi_entity,"In-form Lazio will have an extra spring in their step when they take to the Stadio Olimpico pitch to face Empoli on Sunday. The Roman outfit clinched a spot in the final of the Coppa Italia on Wednesday with 1-0 victory over Napoli, a result which sealed a 2-1 triumph on aggregate. They will now face Juventus in the Coppa final on June 7. And defender Mauricio managed to capture the celebrations of the Lazio supporters using a selfie stick after they secured their progression. Lazio defender Mauricio captures the Lazio fans celebrations via selfie stick . Senad Lulic, the Lazio midfielder who scored the winning goal on Wednesday, said to Gazzetta dello Sport: 'It was important to reach the […]","Lazio secured a spot in the Coppa Italia final with a 1-0 win over Napoli, advancing 2-1 on aggregate, and will face Juventus on June 7. Defender Mauricio celebrated with fans using a selfie stick, while midfielder Senad Lulic, who scored the winning goal, expressed confidence in Lazio's chances against Juve. Lazio aims to extend their seven-game winning streak in Serie A when they host Empoli, sitting third in the standings, one point behind Roma. Juventus, meanwhile, reached the Coppa final with a 3-0 win over Fiorentina and plays Parma on Saturday.",Lazio beat Napoli 1-0 on Wednesday to reach the Coppa Italia final. They will now face Juventus in the final on June 7. Defender Mauricio captured the Lazio fans celebrations using a selfie stick. Lazio face Empoli in Serie A on Sunday.,,,,,,,,,
ex_007,no,,"A teenager is in intensive care after he drunkenly slid down a glass shopping centre roof and crashed onto stone steps. Jacob Polyakov cracked his head on the floor after plunging off the edge of the SEC 'Globe' centre in Kiev, Ukraine. His friend Jamal Maslow, who fell off the roof first, broke his coccyx after landing on the corner of one of the steps. Witnesses rushed over to the teenagers, both 17, after the accident and found Mr Maslow in huge amounts of pain. Mr Polyakov was unconscious. Pavel Yaremenko was at the shopping centre and said the problems started when the boys began to 'fool around' at the top of the building. The 29-year-old said: 'I don't think […]","Two 17-year-old teenagers, Jacob Polyakov and Jamal Maslow, were injured after sliding down the glass roof of the SEC 'Globe' shopping centre in Kiev, Ukraine, while intoxicated. Polyakov is in intensive care after hitting his head on stone steps, while Maslow broke his coccyx. Witnesses reported the boys were encouraged by friends to slide down the roof but quickly regretted it as they gained speed. Both were taken to the hospital, with Polyakov found unconscious and Maslow in severe pain.","Jacob Polyakov cracked his head after plunging off the edge of the SEC 'Globe' centre in Kiev, Ukraine. His friend Jamal Maslow, who fell off the roof first, broke his coccyx after landing on the corner of one of the steps. Witnesses rushed over to the teenagers, both 17, after the accident and found Mr Maslow in huge amounts of pain.",,,,,,,,,
ex_008,no,,The anticipation has been ramped up ahead of next month's $300million mega fight between Floyd Mayweather Jnr and Manny Pacquiao. American television network Showtime has released a short promotional video from within the Mayweather camp as the build up to the May 2 bout at the MGM Grand in Las Vegas. Against the backdrop of a dramatic soundtrack the short film takes inside the gym with the undefeated American as he prepares for the biggest fight the sport has ever witnessed. The Showtime video takes you inside Floyd Mayweather Jnr's training camp ahead of $300m fight . The undefeated American looks focused as he takes a breather after a workout . Mayweather works on the bag as he prepares for […],Floyd Mayweather Jnr and Manny Pacquiao will fight on May 2 in Las Vegas. American television network Showtime has released a short promotional video from within the Mayweather camp. Mayweather is down to within three-and-a-half pounds of the welterweight limit ahead of mega-fight.,"The highly anticipated $300 million fight between Floyd Mayweather Jr. and Manny Pacquiao is set for May 2 at the MGM Grand in Las Vegas. Showtime released a promotional video showcasing Mayweather's training camp, highlighting his focus and dedication as he prepares for the bout. Mayweather, undefeated and nearing the welterweight limit, expressed his strong desire to win, calling it an ""unbelievable match-up."" Both fighters have been sharing their training progress on social media, with the fight for the WBA, WBO, and WBC welterweight titles just weeks away. Mayweather was within three-and-a-half pounds of the 147 lbs limit during a mandatory check 30 days before the fight.",,,,,,,,,
ex_009,no,,"Three friends got the fright of their life when they were confronted by a pod of baby killer whales while on a crabbing trip. Steven Sloan, joined by friends Michael Niccum and Eugene Dight were on an aluminium rowboat when the encounter occurred off the west coast of Anderson Island, Washington. Filming from the boat, Steven captured the orcas swimming from afar – two of them can be seen jumping from the water. At a safe distance: The group cheer in excitment as Steven captures two orcas swimming and jumping from the water . The group on the boat cheer and yell in excitement at what they are witnessing as the whales appear to start moving closer to the boat. […]","Steven Sloan, joined by friends Michael Niccum and Eugene Dight were on an aluminium rowboat when the encounter occurred off the west coast of Anderson Island, Washington. The group believe that the sound of the rope being pulled along the side of the boat is what attracted the orcas.","Three friends, Steven Sloan, Michael Niccum, and Eugene Dight, encountered a pod of baby killer whales while crabbing off Anderson Island, Washington. Initially excited, they filmed the orcas swimming and jumping from a distance, but grew nervous as the whales approached their aluminum rowboat. Believing the sound of a rope being pulled attracted the orcas, the group panicked as one whale emerged close to the boat, with one member shouting, ""We need to get out of here."" The whales circled the boat, prompting nervous laughter and pleas from the group, who eventually rowed back to shore. Steven later shared the video, inviting viewers to laugh at their reaction and enjoy the orcas.",,,,,,,,,
ex_010,no,,"Breakthrough?: Early tests carried out on cancer cells (like the one pictured) have shown survival rates in mice were boosted by more than 50 per cent . A new technique that effectively gives a personal treatment for cancer has been found by scientists. It harnesses the power of the body’s immune system and targets it at tumours. Early experiments have demonstrated that the new method could revolutionise cancer care. Scientists have found a system of priming the body’s immune system to recognise, attack and kill off cancerous cells in lung, skin and bowel tumours. The team which carried out the research found that early trials ‘profoundly retarded’ tumour growth in mice. Survival rates were boosted by more than 50 per […]",New technique harnesses the power of the body’s immune system and targets it at tumours. Early experiments have demonstrated that the new method could revolutionise cancer care. Scientists are now recruiting patients with skin cancer for the first clinical trial on humans. British experts said it is the most promising sign yet that ‘personal’ treatments may be effective in treating a wide range of cancers.,"Scientists have developed a new cancer treatment technique that harnesses the body's immune system to target and kill cancerous cells in lung, skin, and bowel tumors. Early experiments on mice showed a 50% increase in survival rates, with the treatment ""profoundly retarding"" tumor growth. The method involves creating personalized vaccines based on an individual's tumor genetic makeup, boosting the immune system's T-cells to detect and destroy cancer cells. The first human clinical trial is set to begin with skin cancer patients, and experts believe this approach may provide a universal blueprint for targeting various human cancers.",,,,,,,,,
