example_id,annotator,faithfulness_A,coverage_A,fluency_A,faithfulness_B,coverage_B,fluency_B,overall_preference,notes
ex_001,Piyush,4,3,5,4,5,3,B,
ex_002,Piyush,4,3,2,5,5,5,B,
ex_003,Piyush,3,2,3,4,4,4,B,
ex_004,Piyush,5,4,4,4,5,4,A,
ex_005,Piyush,5,5,5,5,4,5,A,
ex_006,Piyush,5,5,5,5,5,5,B,
ex_007,Piyush,4,4,5,5,5,5,B,
ex_008,Piyush,4,3,4,5,5,5,B,
ex_009,Piyush,3,3,3,5,5,5,B,
ex_010,Piyush,4,3,4,5,5,5,B,
ex_011,Piyush,4,4,4,5,5,5,B,
ex_012,Piyush,5,5,5,4,3,4,A,
ex_013,Piyush,4,4,4,5,5,5,B,
ex_014,Piyush,5,4,5,5,5,5,B,
ex_015,Piyush,5,5,5,5,5,5,B,
ex_016,Piyush,5,5,5,5,5,5,B,
ex_017,Piyush,5,5,5,4,4,4,A,
ex_018,Piyush,5,5,5,4,4,4,A,
ex_019,Piyush,5,5,5,5,5,5,B,
ex_020,Piyush,4,4,4,5,5,5,B,
ex_021,Piyush,5,5,5,4,5,5,A,
ex_022,Piyush,5,5,5,4,4,4,A,
ex_023,Piyush,5,4,5,5,5,5,B,
ex_024,Piyush,5,5,5,5,5,5,A,
ex_025,Piyush,5,5,5,5,5,5,B,
ex_026,Piyush,5,5,5,5,5,5,A,
ex_027,Piyush,2,3,4,4,5,5,B,
ex_028,Piyush,5,4,5,5,5,5,B,
ex_029,Piyush,5,5,5,3,5,5,A,
ex_030,Piyush,5,5,5,2,2,3,A,
ex_031,Piyush,5,5,5,4,4,4,A,
ex_032,Piyush,5,5,5,4,4,4,A,
ex_033,Piyush,4,5,5,4,5,5,B,
ex_034,Piyush,4,4,4,5,5,5,B,
ex_035,Piyush,4,4,4,5,5,5,B,
ex_036,Piyush,5,5,5,4,4,4,A,
ex_037,Piyush,5,5,5,3,4,5,A,
ex_038,Piyush,5,5,5,5,5,5,B,
ex_039,Piyush,5,5,5,4,4,5,A,
ex_040,Piyush,5,5,5,5,5,5,B,
ex_041,Piyush,5,5,5,2,1,1,A,
ex_042,Piyush,4,4,4,5,5,5,B,
ex_043,Piyush,5,5,5,5,5,5,A,
ex_044,Piyush,5,4,5,5,5,5,A,
ex_045,Piyush,3,3,4,5,5,5,B,
ex_046,Piyush,4,3,4,5,5,5,B,
ex_047,Piyush,4,4,4,5,5,5,B,
ex_048,Piyush,5,5,5,5,5,5,A,
ex_049,Piyush,5,5,5,5,5,5,B,
ex_050,Piyush,5,4,5,5,5,5,A,
ex_001,Sakhil Taneja,4,5,4,3,5,4,A,1st summary had content that was not in the article provided
ex_002,Sakhil Taneja,4,2,5,5,4,5,B,
ex_003,Sakhil Taneja,5,3,4,5,5,5,B,
ex_004,Sakhil Taneja,5,3,4,5,5,5,B,
ex_005,Sakhil Taneja,5,5,5,5,3,4,A,
ex_006,Sakhil Taneja,5,5,5,5,4,5,tie,"While interms of coverage Summary A is better but it is also very big, for it's size summary B also does a very good job at coverage so i rated it a tie"
ex_007,Sakhil Taneja,5,4,5,5,4,5,B,While they both a bit in coverage summary B did better for it's size
ex_008,Sakhil Taneja,5,2,3,5,4,5,B,
ex_009,Sakhil Taneja,4,2,3,5,5,5,B,
ex_010,Sakhil Taneja,5,3,4,5,5,5,B,
ex_011,Sakhil Taneja,5,4,4,5,5,5,B,
ex_012,Sakhil Taneja,5,5,5,4,2,3,A,
ex_013,Sakhil Taneja,4,3,3,5,4,5,B,
ex_014,Sakhil Taneja,4,3,4,5,4,5,B,
ex_015,Sakhil Taneja,5,4,5,4,3,3,A,
ex_016,Sakhil Taneja,5,5,5,5,4,5,A,
ex_017,Sakhil Taneja,5,3,5,4,5,5,B,
ex_018,Sakhil Taneja,5,3,5,5,4,5,B,
ex_019,Sakhil Taneja,5,4,5,5,3,5,A,
ex_020,Sakhil Taneja,5,4,4,5,5,4,B,
ex_021,Sakhil Taneja,5,4,4,5,5,5,B,
ex_022,Sakhil Taneja,5,5,5,5,3,2,A,
ex_023,Sakhil Taneja,5,2,5,5,3,5,B,
ex_024,Sakhil Taneja,5,4,4,5,3,4,A,
ex_025,Sakhil Taneja,5,5,5,5,2,5,A,
ex_026,Sakhil Taneja,5,5,5,5,5,4,A,
ex_027,Sakhil Taneja,4,3,3,5,4,4,B,
ex_028,Sakhil Taneja,5,5,3,5,5,4,B,
ex_029,Sakhil Taneja,4,4,5,4,4,3,A,
ex_030,Sakhil Taneja,5,5,4,4,2,3,A,
ex_031,Sakhil Taneja,5,5,4,5,2,3,A,
ex_032,Sakhil Taneja,5,4,5,5,5,5,B,In terms of Coverage relative to article provided B is better but A i feel will be a better summary of whole article
ex_033,Sakhil Taneja,5,4,5,5,4,3,A,
ex_034,Sakhil Taneja,5,5,4,5,3,5,A,
ex_035,Sakhil Taneja,4,2,4,5,5,5,B,
ex_036,Sakhil Taneja,5,4,5,5,4,5,A,
ex_037,Sakhil Taneja,4,2,5,4,2,5,tie,Very little in summary in comparison to what is mentioned in the provided part of the article
ex_038,Sakhil Taneja,5,4,5,5,5,4,tie,
ex_039,Sakhil Taneja,5,5,5,4,3,3,A,
ex_040,Sakhil Taneja,5,5,5,4,3,4,A,
ex_041,Sakhil Taneja,5,5,5,4,1,4,A,
ex_042,Sakhil Taneja,5,3,3,5,5,5,B,
ex_043,Sakhil Taneja,5,4,4,5,4,5,B,
ex_044,Sakhil Taneja,5,3,3,5,4,4,B,
ex_045,Sakhil Taneja,4,4,3,5,4,4,B,
ex_046,Sakhil Taneja,3,2,2,5,4,5,B,
ex_047,Sakhil Taneja,4,4,3,5,4,4,B,
ex_048,Sakhil Taneja,5,4,4,5,4,4,A,
ex_049,Sakhil Taneja,5,5,5,5,4,4,A,
ex_050,Sakhil Taneja,5,3,5,5,4,5,B,
ex_001,Affan,4,4,4,3,3,3,A,
ex_002,Affan,2,2,2,4,4,4,B,
ex_003,Affan,4,4,4,4,4,4,tie,
ex_004,Affan,2,2,2,4,4,4,B,
ex_005,Affan,5,4,5,3,3,3,A,
ex_006,Affan,4,4,3,4,3,4,tie,
ex_007,Affan,4,4,3,4,3,3,A,
ex_008,Affan,4,4,4,4,4,4,A,
ex_009,Affan,3,3,3,4,5,4,B,
ex_010,Affan,3,3,3,5,5,5,B,
ex_011,Affan,4,4,4,5,5,5,B,
ex_012,Affan,4,4,4,3,3,3,A,
ex_013,Affan,3,3,3,5,5,5,B,
ex_014,Affan,4,4,4,5,5,5,B,
ex_015,Affan,4,4,4,3,3,3,A,
ex_016,Affan,1,1,4,4,4,4,B,
ex_017,Affan,3,3,3,5,5,5,B,
ex_018,Affan,4,4,4,5,5,5,B,
ex_019,Affan,3,4,3,4,4,4,B,
ex_020,Affan,3,3,3,5,5,5,B,
ex_021,Affan,3,3,2,4,4,4,B,
ex_022,Affan,4,4,4,3,3,3,A,
ex_023,Affan,2,2,2,4,4,4,B,
ex_024,Affan,3,3,3,3,3,3,tie,
ex_025,Affan,3,3,3,3,3,3,tie,
ex_026,Affan,3,3,3,4,4,4,B,
ex_027,Affan,3,3,3,5,5,5,B,
ex_028,Affan,3,3,3,4,4,4,B,
ex_029,Affan,3,3,3,3,2,2,tie,
ex_030,Affan,4,4,4,3,3,3,A,
ex_031,Affan,4,4,4,3,3,3,A,
ex_032,Affan,4,4,4,3,3,3,A,
ex_033,Affan,4,4,4,3,3,3,A,
ex_034,Affan,4,4,4,3,3,3,A,
ex_035,Affan,3,3,3,4,4,4,B,
ex_036,Affan,3,3,3,3,3,3,tie,
ex_037,Affan,4,4,4,4,4,4,A,
ex_038,Affan,4,4,4,3,5,3,A,
ex_039,Affan,4,4,4,3,3,3,A,
ex_040,Affan,5,4,4,3,2,3,A,
ex_041,Affan,5,5,5,3,3,3,A,
